Country,ASN,TTL,IP,Domain,Organization,Registrar,TLD,SLD,entropy,num%,length,state,creation_date,expiration_date,registar,organization,domain_age,creation_date_year,creation_date_month,creation_date_day,domain_lifespan
NL,204915.0,2,145.14.145.41,programafidelidadeitacard2.cf.,,,cf,programafidelidadeitacard2,3.6695767463163937,0.0333333333333333,27,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
NL,52000.0,199,91.224.140.71,gg.gg.,,,gg,,0.9182958340544896,0.0,1,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
US,14618.0,59,52.71.139.107,split.to.,,,to,split,2.725480556997868,0.0,6,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
CA,16276.0,299,139.99.131.33,com-km.ru.,,,ru,com-km,2.9219280948873623,0.0,7,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
CA,16276.0,298,139.99.131.33,com-km.ru.,,,ru,com-km,2.9219280948873623,0.0,7,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
US,13335.0,214,104.20.218.42,tinyurl.com.,,,com,tinyurl,3.4182958340544896,0.0,8,,2002-01-27 06:17:41.000,2029-01-27 06:17:41.000,Tucows Domains Inc.,,7398,2002,1,27,9862
US,13335.0,187,104.20.218.42,tinyurl.com.,,,com,tinyurl,3.4182958340544896,0.0,8,,2002-01-27 06:17:41.000,2029-01-27 06:17:41.000,Tucows Domains Inc.,,7398,2002,1,27,9862
US,26496.0,3599,50.63.202.82,www.mukmati.com.,,,com,www.mukmati,3.10845859334435,0.0,12,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
DE,47846.0,1597,91.195.240.87,www.di-vukelic.com.,,,com,www.di-vukelic,3.5368867237421666,0.0,15,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
US,53755.0,14399,23.226.72.108,betistgiris.info.,,,info,betistgiris,3.2639334294856344,0.0,12,Budva,2018-08-26 14:08:21.000,2022-08-26 14:08:21.000,"GoDaddy.com, LLC",,1343,2018,8,26,1461
DE,51167.0,21599,5.189.152.128,achrlf.pk.,,,pk,achrlf,3.1219280948873624,0.0,7,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
ZW,37183.0,269,196.29.35.79,www.bowlszw.co.zw.,,,co.zw,www.bowlszw,2.6416041678685933,0.0,12,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
IL,209622.0,14399,88.218.116.53,www.magiaroma.co.il.,,Gorni Interactive Ltd,co.il,www.magiaroma,3.146439344671016,0.0,14,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
IL,209622.0,14398,88.218.116.53,www.magiaroma.co.il.,,Gorni Interactive Ltd,co.il,www.magiaroma,3.146439344671016,0.0,14,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
AU,45638.0,14399,103.42.109.9,bigfootinvestor.com.au.,,,com.au,bigfootinvestor,3.795088586397733,0.0,16,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
US,19551.0,14399,45.60.98.213,www.starborninstitute.org.,,,org,www.starborninstitute,3.53641423712223,0.0,22,Washington,2010-03-03 23:18:46.000,2029-03-03 23:18:46.000,"GoDaddy.com, LLC",,4441,2010,3,3,6940
US,46606.0,14399,66.147.244.139,www.fieldserviceguy.com.,,,com,www.fieldserviceguy,3.8239348962840567,0.0,20,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
US,46606.0,14399,66.147.244.139,www.fieldserviceguy.com.,,,com,www.fieldserviceguy,3.8239348962840567,0.0,20,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
IL,209622.0,14377,88.218.116.53,www.magiaroma.co.il.,,Gorni Interactive Ltd,co.il,www.magiaroma,3.146439344671016,0.0,14,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
IL,209622.0,14377,88.218.116.53,www.magiaroma.co.il.,,Gorni Interactive Ltd,co.il,www.magiaroma,3.146439344671016,0.0,14,,2022-05-01 00:00:00.000,2022-05-01 00:00:00.000,,,0,2022,5,1,0
