Country,ASN,TTL,IP,Domain,Organization,Registrar,TLD,SLD,entropy,num%,length,state,creation_date,expiration_date,registar,organization,domain_age,creation_date_year,creation_date_month,creation_date_day,domain_lifespan
JP,2516.0,59,119.82.155.98,0900259.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0900259,2.8553885422075336,0.5833333333333334,8,Tokyo,2019-06-11 12:32:01,2022-06-11 12:32:01,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3599,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3599,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3599,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.97,0901360.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0901360,3.0220552088742005,0.5833333333333334,8,Tokyo,2019-06-11 12:31:51,2022-06-11 12:31:51,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3599,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2516.0,59,119.82.155.96,0902471.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0902471,3.2516291673878226,0.5833333333333334,8,Tokyo,2019-06-11 12:31:49,2022-06-11 12:31:49,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3591,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3595,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.95,0903582.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0903582,3.2516291673878226,0.5833333333333334,8,Tokyo,2019-06-11 12:31:52,2022-06-11 12:31:52,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3592,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3589,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3589,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.104,0904693.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0904693,3.084962500721156,0.5833333333333334,8,Tokyo,2019-06-11 12:31:54,2022-06-11 12:31:54,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3584,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3599,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.103,0905704.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0905704,3.0220552088742005,0.5833333333333334,8,Tokyo,2019-06-11 12:31:55,2022-06-11 12:31:55,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3595,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3599,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.102,0906815.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0906815,3.2516291673878226,0.5833333333333334,8,Tokyo,2019-06-11 12:31:56,2022-06-11 12:31:56,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3576,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3584,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3580,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.101,0907926.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0907926,3.084962500721156,0.5833333333333334,8,Tokyo,2019-06-11 12:31:58,2022-06-11 12:31:58,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3573,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3574,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3577,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.100,0908037.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0908037,3.0220552088742005,0.5833333333333334,8,Tokyo,2019-06-11 12:31:59,2022-06-11 12:31:59,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3569,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3570,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3573,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2516.0,59,119.82.155.99,0909148.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,0909148,3.084962500721156,0.5833333333333334,8,Tokyo,2019-06-11 12:32:00,2022-06-11 12:32:00,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1096
JP,2519.0,3566,116.91.115.130,koitera.net.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,net,koitera,3.084962500721156,0.0,8,Tokyo,2019-06-11 12:31:48,2023-06-11 12:31:48,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,1054,2019,6,11,1461
JP,2519.0,3580,116.91.115.130,koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,koitera,3.2516291673878226,0.0,8,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
JP,2519.0,3570,116.91.115.130,pc.koitera.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,pc.koitera,3.32323142879762,0.0,11,Tokyo,2016-04-21 04:43:31,2023-04-21 04:43:31,"GMO INTERNET, INC.",Whois Privacy Protection Service by onamae.com,2200,2016,4,21,2556
US,6939.0,59,65.19.180.78,1a2n-f9.jp.,,,jp,1a2n-f9,3.277613436819116,0.2727272727272727,8,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
US,6939.0,59,65.19.180.78,3-8h7eo0.jp.,,,jp,3-8h7eo0,3.4182958340544896,0.3333333333333333,9,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
US,6939.0,59,65.19.180.78,6-2m3kf.jp.,,,jp,6-2m3kf,3.277613436819116,0.2727272727272727,8,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
US,6939.0,59,65.19.180.78,6f4n-8w.jp.,,,jp,6f4n-8w,3.277613436819116,0.2727272727272727,8,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
KR,45382.0,299,61.97.245.158,6ysp4qaptygve7bo.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,6ysp4qaptygve7bo,4.011365041826379,0.1428571428571428,17,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
JP,9370.0,119,163.43.251.9,7-62necn1m.jp.,,,jp,7-62necn1m,3.521640636343319,0.2857142857142857,11,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
JP,9370.0,119,163.43.251.9,7-62necn1m.jp.,,,jp,7-62necn1m,3.521640636343319,0.2857142857142857,11,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
KR,45382.0,299,61.97.245.164,769zqwhednmurkq7.com.,Whois Privacy Protection Service by onamae.com,GMO INTERNET,com,769zqwhednmurkq7,4.011365041826379,0.1904761904761904,17,,2022-05-01 00:00:00,2022-05-01 00:00:00,,,0,2022,5,1,0
